SUBMIT DATE,count
2017-03-25,168
2017-03-26,138
2017-03-27,531
2017-03-28,355
2017-03-29,300
2017-03-30,249
2017-03-31,218
2017-04-01,13
2017-04-02,7
2017-04-03,318
2017-04-04,416
2017-04-05,326
2017-04-06,265
2017-04-07,295
2017-04-08,5
2017-04-09,4
2017-04-10,317
2017-04-11,267
2017-04-12,296
2017-04-13,328
2017-04-14,185
2017-04-15,5
2017-04-16,1
2017-04-17,239
2017-04-18,314
2017-04-19,297
2017-04-20,324
2017-04-21,352
2017-04-23,10
2017-04-24,262
2017-04-25,311
2017-04-26,261
2017-04-27,295
2017-04-28,302
2017-04-29,12
2017-04-30,5
2017-05-01,155
2017-05-02,289
2017-05-03,247
2017-05-04,316
2017-05-05,220
2017-05-06,8
2017-05-07,2
2017-05-08,249
2017-05-09,271
2017-05-10,335
2017-05-11,247
2017-05-12,242
2017-05-13,9
2017-05-14,6
2017-05-15,268
2017-05-16,270
2017-05-17,342
2017-05-18,296
2017-05-19,284
2017-05-20,2
2017-05-21,1
2017-05-22,211
2017-05-23,272
2017-05-24,312
2017-05-25,232
2017-05-26,220
2017-05-27,6
2017-05-28,1
2017-05-29,66
2017-05-30,235
2017-05-31,254
2017-06-01,290
2017-06-02,238
2017-06-03,8
2017-06-04,1
2017-06-05,242
2017-06-06,278
2017-06-07,275
2017-06-08,302
2017-06-09,247
2017-06-11,2
2017-06-12,284
2017-06-13,244
2017-06-14,265
2017-06-15,278
2017-06-16,317
2017-06-17,12
2017-06-19,204
2017-06-20,275
2017-06-21,266
2017-06-22,260
2017-06-23,297
2017-06-25,12
2017-06-26,223
2017-06-27,401
2017-06-28,340
2017-06-29,380
2017-06-30,312
2017-07-01,3
2017-07-02,4
2017-07-03,86
2017-07-04,38
2017-07-05,227
2017-07-06,286
2017-07-07,333
2017-07-08,6
2017-07-09,3
2017-07-10,307
2017-07-11,289
2017-07-12,316
2017-07-13,262
2017-07-14,344
2017-07-15,7
2017-07-16,4
2017-07-17,228
2017-07-18,254
2017-07-19,282
2017-07-20,303
2017-07-21,275
2017-07-22,5
2017-07-23,3
2017-07-24,301
2017-07-25,249
2017-07-26,295
2017-07-27,295
2017-07-28,263
2017-07-29,5
2017-07-30,4
2017-07-31,268
2017-08-01,279
2017-08-02,327
2017-08-03,343
2017-08-04,270
2017-08-05,9
2017-08-07,242
2017-08-08,306
2017-08-09,295
2017-08-10,300
2017-08-11,275
2017-08-12,1
2017-08-13,2
2017-08-14,231
2017-08-15,184
2017-08-16,268
2017-08-17,227
2017-08-18,210
2017-08-19,45
2017-08-20,14
2017-08-21,250
2017-08-22,271
2017-08-23,316
2017-08-24,307
2017-08-25,146
2017-08-26,4
2017-08-27,7
2017-08-28,246
2017-08-29,263
2017-08-30,236
2017-08-31,278
2017-09-01,252
2017-09-02,3
2017-09-03,7
2017-09-04,16
2017-09-05,272
2017-09-06,244
2017-09-07,296
2017-09-08,279
2017-09-09,8
2017-09-10,3
2017-09-11,250
2017-09-12,247
2017-09-13,224
2017-09-14,252
2017-09-15,222
2017-09-16,13
2017-09-18,254
2017-09-19,253
2017-09-20,255
2017-09-21,260
2017-09-22,219
2017-09-23,1
2017-09-24,8
2017-09-25,209
2017-09-26,248
